program,day,timeSlot,subject,facultyId,facultyName,room
MCA,Wednesday,2:00-3:00 PM,MCA II SEM - CA514A4 - .NET LAB,FAC-MR-VIVEK-THAPA-DR-DIPENDRA-GURUNG,Mr.Vivek Thapa / Dr.Dipendra Gurung,MCA II SEM | Room A317
MCA,Wednesday,3:00-4:00 PM,MCA II SEM - CA514A4 - .NET LAB,FAC-MR-VIVEK-THAPA-DR-DIPENDRA-GURUNG,Mr.Vivek Thapa / Dr.Dipendra Gurung,MCA II SEM | Room A317
MCA,Thursday,9:00-10:00 AM,MCA II SEM - CA509A1 - UNIX/LINUX INTERNAL,FAC-DR-KRISHNA-VIJAY-SINGH,Dr.Krishna Vijay Singh,MCA II SEM | Room A317
MCA,Thursday,10:00-11:00 AM,MCA II SEM - MA502A1 - QUANTITATIVE ANALYSIS FOR COMPUTER APPLICATIONS,FAC-DR-CHANDRIMA-RAY-CHAUDHURI-EMP-CODE-2102,Dr. Chandrima Ray Chaudhuri (Emp Code) 2102,MCA II SEM | Room A317
MCA,Thursday,11:00 AM-12:00 PM,MCA II SEM - CA511A1 - COMPUTER NETWORK,FAC-DR-KRISHNA-VIJAY-SINGH,Dr.Krishna Vijay Singh,MCA II SEM | Room A317
MCA,Thursday,12:00-1:00 PM,MCA II SEM - CA561A3 - DATA SCIENCE,FAC-DR-SUMON-DEY,Dr.Sumon Dey,MCA II SEM | Room A317
MCA,Thursday,2:00-3:00 PM,MCA II SEM - CA563A3 - PRINCIPLES OF CYBER SECURITY,FAC-MR-BISHAL-PRADHAN,Mr.Bishal Pradhan,MCA II SEM | Room A317
MCA,Friday,9:00-10:00 AM,MCA II SEM - CA559A3 - PYTHON PROGRAMMING,FAC-MR-VIVEK-THAPA,Mr.Vivek Thapa,MCA II SEM | Room A317
MCA,Friday,10:00-11:00 AM,MCA II SEM - CA509A1 - UNIX/LINUX INTERNAL,FAC-DR-KRISHNA-VIJAY-SINGH,Dr.Krishna Vijay Singh,MCA II SEM | Room A317
MCA,Friday,11:00 AM-12:00 PM,MCA II SEM - CA510A1 - .NET FRAMEWORK,FAC-MR-VIVEK-THAPA,Mr.Vivek Thapa,MCA II SEM | Room A317
MCA,Friday,12:00-1:00 PM,MCA II SEM - CA561A3 - DATA SCIENCE,FAC-DR-SUMON-DEY,Dr.Sumon Dey,MCA II SEM | Room A317
MCA,Friday,2:00-3:00 PM,MCA II SEM - CA511A1 - COMPUTER NETWORK,FAC-DR-KRISHNA-VIJAY-SINGH,Dr.Krishna Vijay Singh,MCA II SEM | Room A317
MCA,Friday,3:00-4:00 PM,MCA II SEM - CA563A3 - PRINCIPLES OF CYBER SECURITY,FAC-MR-BISHAL-PRADHAN,Mr.Bishal Pradhan,MCA II SEM | Room A317
